# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403d3510	0x1403d3520	+0x10	nearest-anchor delta +0x10, 13 shape candidates
0x1403d3520	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d3540	0x1403d3550	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403d3550	0x1403d3560	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d3560	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d3570	0x1403d3580	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403d3580	0x1403d3590	+0x10	unique, 44B signature, 26B fixed
0x1403d3640	0x1403d3650	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403d3700	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d3710	0x1403d3720	+0x10	unique, 42B signature, 25B fixed
0x1403d37d0	0x1403d37e0	+0x10	unique, 46B signature, 30B fixed
0x1403d3aa0	0x1403d3ab0	+0x10	nearest-anchor delta +0x10, 12 shape candidates
0x1403d3b00	0x1403d3b10	+0x10	nearest-anchor delta +0x10, 3 shape candidates
0x1403d4280	0x1403d4290	+0x10	unique, 42B signature, 27B fixed
0x1403d4410	0x1403d4420	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403d4970	0x1403d4980	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d8c60	0x1403d8c70	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d8cb0	0x1403d8cc0	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d8cf0	0x1403d8d00	+0x10	nearest-anchor delta +0x10, 11 shape candidates
0x1403d8d00	0x1403d8d10	+0x10	nearest-anchor delta +0x10, 11 shape candidates
0x1403d9020	0x1403d9030	+0x10	nearest-anchor delta +0x10, 11 shape candidates
0x1403d9030	0x1403d9040	+0x10	nearest-anchor delta +0x10, 4 shape candidates
0x1403d9100	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9470	0x1403d9480	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d9480	0x1403d9490	+0x10	unique, 39B signature, 28B fixed
0x1403d94b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d94c0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d94d0	0x1403d94e0	+0x10	nearest-anchor delta +0x10, 50 shape candidates
0x1403d9510	0x1403d9520	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403d96a0	0x1403d96b0	+0x10	nearest-anchor delta +0x10, 50 shape candidates
0x1403d96e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9700	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9710	0x1403d9720	+0x10	unique, 40B signature, 29B fixed
0x1403d9910	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9920	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9930	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9940	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9950	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9970	0x1403d9980	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403d9980	0x1403d9990	+0x10	nearest-anchor delta +0x10, 227 shape candidates
0x1403d9990	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d99a0	0x1403d99b0	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403d99b0	0x1403d99c0	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403d99e0	0x1403d99f0	+0x10	unique, 41B signature, 26B fixed
0x1403d9d60	0x1403d9d70	+0x10	unique, 29B signature, 11B fixed
0x1403d9f20	0x1403d9f30	+0x10	unique, 42B signature, 29B fixed
0x1403dddb0	0x1403dddc0	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403e00b0	0x1403e00c0	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403e0100	0x1403e0110	+0x10	nearest-anchor delta +0x10, 278 shape candidates
0x1403e0200	0x1403e0210	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403e0210	0x1403e0220	+0x10	nearest-anchor delta +0x10, 175 shape candidates
0x1403e0220	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
